551,802,0
10106,2052,0
10106,3858,0
10106,3876,0
10106,4196,0
10106,4693,0
10106,5050,0
10106,5119,0
10106,5163,0
10106,5164,0
10106,5184,0
10106,5216,0
10106,5229,0
10106,5260,0
10106,5397,0
10106,5465,0
10118,72,0
10118,2085,0
10129,1246,0
10129,2570,0
10133,579,0
10137,2364,0
10138,2146,0
10148,396,0
10148,1820,0
10148,2330,0
10150,589,0
10150,688,0
10150,1025,0
10150,1483,0
10150,1587,0
10150,2009,0
10152,110,0
10152,747,0
10153,1012,0
10153,1455,0
10153,3149,0
10159,4325,0
10159,4602,0
10161,332,0
10161,854,0
10161,1046,0
10161,1484,0
10161,1764,0
10164,305,0
10164,783,0
10164,918,0
10164,1784,0
10166,1405,0
10176,1987,0
10188,594,0
10190,166,0
10190,1219,0
10190,1831,0
10190,1895,0
10204,129,0
10204,1587,0
10224,4103,0
10502,2575,0
10502,2745,0
10510,475,0
10510,570,0
10544,914,0
10568,171,0
10568,1604,0
10568,1863,0
10570,802,0
10570,1013,0
10570,1449,0
10570,2356,0
10572,105,0
10574,488,0
10575,1046,0
10575,1272,0
10580,2699,0
10580,2743,0
10580,2821,0
10587,2628,0
10594,3706,0
10594,7599,0
10595,201,0
10595,1704,0
10595,2580,0
10595,2614,0
10595,2888,0
10595,3166,0
10595,3175,0
10595,3495,0
10595,3962,0
10595,4029,0
10600,283,0
10600,513,0
10605,297,0
10605,463,0
10605,675,0
10605,1806,0
10605,2463,0
10605,2839,0
10610,412,0
10610,599,0
10612,1576,0
10616,143,0
10616,632,0
10616,639,0
10616,1236,0
10616,1360,0
10616,1549,0
13101,8120,0
13105,6329,0
13107,8000,0
13109,125,0
15101,12,0
17101,261,0
17101,489,0
17101,1733,0
17101,1862,0
17103,178,0
17103,1215,0
10007,26,1
10106,1066,1
10106,4231,1
10106,4238,1
10106,4333,1
10106,4795,1
10106,4812,1
10106,5135,1
10106,5161,1
10106,5232,1
10106,5536,1
10106,5550,1
10106,5605,1
10133,644,1
10137,2362,1
10150,1634,1
10150,2129,1
10153,1014,1
10153,1374,1
10153,2914,1
10153,2918,1
10153,2922,1
10153,2934,1
10153,2935,1
10153,3449,1
10153,3548,1
10153,3712,1
10159,4772,1
10159,4865,1
10160,449,1
10161,1284,1
10173,1679,1
10177,134,1
10181,546,1
10188,713,1
10188,804,1
10190,650,1
10502,1267,1
10568,61,1
10582,2231,1
10582,2312,1
10589,475,1
10595,2809,1
10615,628,1
10615,4648,1
10615,4951,1
10615,5096,1
10615,5218,1
10615,5237,1
10615,5301,1
10615,5560,1
10615,5996,1
10615,6651,1
10615,6941,1
10615,6973,1
10615,7461,1
10615,7551,1
10620,1062,1
13105,635,1
13105,6417,1
13110,16903,1
10106,3862,2
10150,2242,2
10160,1246,2
10173,476,2
10580,2742,2
10602,979,2
10615,1139,2
10615,7452,2
10007,34,3
10133,478,3
10165,122,3
10611,4012,3
10106,5056,4
10594,1038,4
10007,22,5
10007,35,5
10106,597,5
10204,1822,5
10573,57,5
10615,4480,5
13000,61,5
10190,1110,6
10605,3054,6
10618,256,6
17102,2084,6
91,20,7
10106,5370,7
10579,715,7
10605,3177,7
10611,3781,7
10615,5815,7
13101,11455,7
10007,21,8
10007,27,8
10134,528,8
10137,149,8
10205,44,8
10570,214,8
10611,3395,8
10615,5797,8
10616,59,8
17101,1816,8
10007,19,9
10150,2273,9
10205,1636,9
10543,1044,9
10573,56,9
10595,3058,9
10007,4,10
10007,36,10
10106,1068,10
10146,1959,10
10207,1670,10
10570,6223,10
10120,1122,11
10150,1325,11
10544,640,11
10605,2760,12
13105,15165,12
17103,1026,12
551,808,13
10159,4556,13
10177,17601,13
10177,18269,13
10605,1927,13
10605,1562,14
13107,1224,14
502,511,15
10132,3367,15
10150,834,15
10150,2371,15
10173,2599,15
10177,16734,15
10204,1048,15
10570,761,15
10605,3780,15
10615,5414,15
